GROUP,Species,Strain,Protein,DNA,GFF3,Short,TaxonGroup
OUT,Coccidioides posadasii,Beeville,Beeville.pep.fa,Beeville.dna.fa,Beeville.gff3,Beeville,Coccidioides posadasii
OUT,Coccidioides posadasii,C735-TKO,C735-TKO.pep.fa,C735-TKO.dna.fa,C735-TKO.gff3,C735-TKO,Coccidioides posadasii
IN,Coccidioides immitis,CA1,CA1.pep.fa,CA1.dna.fa,CA1.gff3,CA1,Coccidioides immitis
IN,Coccidioides immitis,CA14,CA14.pep.fa,CA14.dna.fa,CA14.gff3,CA14,Coccidioides immitis
IN,Coccidioides immitis,CA15,CA15.pep.fa,CA15.dna.fa,CA15.gff3,CA15,Coccidioides immitis
IN,Coccidioides immitis,CA17,CA17.pep.fa,CA17.dna.fa,CA17.gff3,CA17,Coccidioides immitis
IN,Coccidioides immitis,CA2,CA2.pep.fa,CA2.dna.fa,CA2.gff3,CA2,Coccidioides immitis
IN,Coccidioides immitis,CA20,CA20.pep.fa,CA20.dna.fa,CA20.gff3,CA20,Coccidioides immitis
IN,Coccidioides immitis,CA22,CA22.pep.fa,CA22.dna.fa,CA22.gff3,CA22,Coccidioides immitis
IN,Coccidioides immitis,CA23,CA23.pep.fa,CA23.dna.fa,CA23.gff3,CA23,Coccidioides immitis
IN,Coccidioides immitis,CA24,CA24.pep.fa,CA24.dna.fa,CA24.gff3,CA24,Coccidioides immitis
IN,Coccidioides immitis,CA25,CA25.pep.fa,CA25.dna.fa,CA25.gff3,CA25,Coccidioides immitis
IN,Coccidioides immitis,CA26,CA26.pep.fa,CA26.dna.fa,CA26.gff3,CA26,Coccidioides immitis
IN,Coccidioides immitis,CA27,CA27.pep.fa,CA27.dna.fa,CA27.gff3,CA27,Coccidioides immitis
IN,Coccidioides immitis,CA28,CA28.pep.fa,CA28.dna.fa,CA28.gff3,CA28,Coccidioides immitis
IN,Coccidioides immitis,CA29,CA29.pep.fa,CA29.dna.fa,CA29.gff3,CA29,Coccidioides immitis
IN,Coccidioides immitis,CA3,CA3.pep.fa,CA3.dna.fa,CA3.gff3,CA3,Coccidioides immitis
IN,Coccidioides immitis,CA30,CA30.pep.fa,CA30.dna.fa,CA30.gff3,CA30,Coccidioides immitis
IN,Coccidioides immitis,CA4,CA4.pep.fa,CA4.dna.fa,CA4.gff3,CA4,Coccidioides immitis
IN,Coccidioides immitis,CA5,CA5.pep.fa,CA5.dna.fa,CA5.gff3,CA5,Coccidioides immitis
IN,Coccidioides immitis,CA6,CA6.pep.fa,CA6.dna.fa,CA6.gff3,CA6,Coccidioides immitis
IN,Coccidioides immitis,CA7,CA7.pep.fa,CA7.dna.fa,CA7.gff3,CA7,Coccidioides immitis
IN,Coccidioides immitis,CA8,CA8.pep.fa,CA8.dna.fa,CA8.gff3,CA8,Coccidioides immitis
IN,Coccidioides immitis,CA9,CA9.pep.fa,CA9.dna.fa,CA9.gff3,CA9,Coccidioides immitis
IN,Coccidioides immitis,CDC-202,CDC-202.pep.fa,CDC-202.dna.fa,CDC-202.gff3,CDC-202,Coccidioides immitis
IN,Coccidioides immitis,CDC-205,CDC-205.pep.fa,CDC-205.dna.fa,CDC-205.gff3,CDC-205,Coccidioides immitis
IN,Coccidioides immitis,CDC-212,CDC-212.pep.fa,CDC-212.dna.fa,CDC-212.gff3,CDC-212,Coccidioides immitis
OUT,Coccidioides posadasii,COCPO_103718,COCPO_103718.pep.fa,COCPO_103718.dna.fa,COCPO_103718.gff3,COCPO_103718,Coccidioides posadasii
