ql	sl	pid	len	qlen	slen	qcov	ev	bits
F24	F04	100.0	62	62	125	1.0	1.77e-37	120.0
F24	F31	95.2	62	62	90	1.0	8.59e-36	115.0
F24	F26	95.2	62	62	151	1.0	5.05e-35	115.0
F24	F12	95.2	62	62	178	1.0	1.0699999999999999e-34	115.0
F24	F33	95.2	62	62	202	1.0	2.02e-34	115.0
F24	F38	80.0	60	62	90	0.97	2.54e-28	96.7
F17	F29	99.1	108	108	140	1.0	3.65e-73	213.0
F17	F10	88.0	108	108	119	1.0	2.59e-64	190.0
F17	F08	39.8	103	108	117	0.95	2.04e-15	66.6
F17	F16	40.3	62	108	120	0.56	7.99e-09	49.7
F17	F19	33.0	103	108	103	0.95	2.24e-08	48.1
