Species,Strain,Protein,DNA,Short,Lineage
Penicillium nordicum,DAOMC 185683,Penicillium_nordicum_DAOMC_185683.proteins.fa,Penicillium_nordicum_DAOMC_185683.scaffolds.fa,Peninord,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium nordicum,LCP05904,Penicillium_nordicum_LCP05904.proteins.fa,Penicillium_nordicum_LCP05904.scaffolds.fa,Peninor2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium nordicum,UASWS BFE487,Penicillium_nordicum_UASWS_BFE487.proteins.fa,Penicillium_nordicum_UASWS_BFE487.scaffolds.fa,Peninor3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium nucicola,IBT 29836,Penicillium_nucicola_IBT_29836.proteins.fa,Penicillium_nucicola_IBT_29836.scaffolds.fa,Peninuci,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium occitanis,CL100,Penicillium_occitanis_CL100.proteins.fa,Penicillium_occitanis_CL100.scaffolds.fa,Peniocci,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium occitanis,CT1,Penicillium_occitanis_CT1.proteins.fa,Penicillium_occitanis_CT1.scaffolds.fa,Peniocc2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium ochrochloron,hvef18,Penicillium_ochrochloron_hvef18.proteins.fa,Penicillium_ochrochloron_hvef18.scaffolds.fa,Peniochr,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium ochrochloron,RLS11,Penicillium_ochrochloron_RLS11.proteins.fa,Penicillium_ochrochloron_RLS11.scaffolds.fa,Penioch2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium odoratum,IBT 22623,Penicillium_odoratum_IBT_22623.proteins.fa,Penicillium_odoratum_IBT_22623.scaffolds.fa,Peniodor,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F6_4S_1A_F,Penicillium_palitans_F6_4S_1A_F.proteins.fa,Penicillium_palitans_F6_4S_1A_F.scaffolds.fa,Penipali,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F6_4S_1B_F,Penicillium_palitans_F6_4S_1B_F.proteins.fa,Penicillium_palitans_F6_4S_1B_F.scaffolds.fa,Penipal2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F6_4S_1C_F,Penicillium_palitans_F6_4S_1C_F.proteins.fa,Penicillium_palitans_F6_4S_1C_F.scaffolds.fa,Penipal3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F6_6S_1_F,Penicillium_palitans_F6_6S_1_F.proteins.fa,Penicillium_palitans_F6_6S_1_F.scaffolds.fa,Penipal4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F6_7S_1A_F,Penicillium_palitans_F6_7S_1A_F.proteins.fa,Penicillium_palitans_F6_7S_1A_F.scaffolds.fa,Penipal5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F6_7S_1C_F,Penicillium_palitans_F6_7S_1C_F.proteins.fa,Penicillium_palitans_F6_7S_1C_F.scaffolds.fa,Penipal6,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F6_8S_1A_F,Penicillium_palitans_F6_8S_1A_F.proteins.fa,Penicillium_palitans_F6_8S_1A_F.scaffolds.fa,Penipal7,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F6_8S_1C_F,Penicillium_palitans_F6_8S_1C_F.proteins.fa,Penicillium_palitans_F6_8S_1C_F.scaffolds.fa,Penipal8,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F8_6S-1F,Penicillium_palitans_F8_6S-1F.proteins.fa,Penicillium_palitans_F8_6S-1F.scaffolds.fa,Penipal9,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F8_6S-3F,Penicillium_palitans_F8_6S-3F.proteins.fa,Penicillium_palitans_F8_6S-3F.scaffolds.fa,Penipa10,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F8_6S-4F,Penicillium_palitans_F8_6S-4F.proteins.fa,Penicillium_palitans_F8_6S-4F.scaffolds.fa,Penipa11,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F8_6S_2F,Penicillium_palitans_F8_6S_2F.proteins.fa,Penicillium_palitans_F8_6S_2F.scaffolds.fa,Penipa12,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,F8_6S_5F,Penicillium_palitans_F8_6S_5F.proteins.fa,Penicillium_palitans_F8_6S_5F.scaffolds.fa,Penipa13,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium palitans,SP3,Penicillium_palitans_SP3.proteins.fa,Penicillium_palitans_SP3.scaffolds.fa,Penipa14,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium pancosmium,FP10,Penicillium_pancosmium_FP10.proteins.fa,Penicillium_pancosmium_FP10.scaffolds.fa,Penipanc,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium pancosmium,MUM 23.27,Penicillium_pancosmium_MUM_23.27.proteins.fa,Penicillium_pancosmium_MUM_23.27.scaffolds.fa,Penipan2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paneum,FM227,Penicillium_paneum_FM227.proteins.fa,Penicillium_paneum_FM227.scaffolds.fa,Penipane,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paneum,M1705,Penicillium_paneum_M1705.proteins.fa,Penicillium_paneum_M1705.scaffolds.fa,Penipan3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paneum,M1707,Penicillium_paneum_M1707.proteins.fa,Penicillium_paneum_M1707.scaffolds.fa,Penipan4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paneum,OM1,Penicillium_paneum_OM1.proteins.fa,Penicillium_paneum_OM1.scaffolds.fa,Penipan5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paneum,PF1704S,Penicillium_paneum_PF1704S.proteins.fa,Penicillium_paneum_PF1704S.scaffolds.fa,Penipan6,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paneum,PH1708,Penicillium_paneum_PH1708.proteins.fa,Penicillium_paneum_PH1708.scaffolds.fa,Penipan7,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paneum,PT1701,Penicillium_paneum_PT1701.proteins.fa,Penicillium_paneum_PT1701.scaffolds.fa,Penipan8,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paneum,S1708,Penicillium_paneum_S1708.proteins.fa,Penicillium_paneum_S1708.scaffolds.fa,Penipan9,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paneum,Y1702,Penicillium_paneum_Y1702.proteins.fa,Penicillium_paneum_Y1702.scaffolds.fa,Penipa15,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paneum,Y6003,Penicillium_paneum_Y6003.proteins.fa,Penicillium_paneum_Y6003.scaffolds.fa,Penipa16,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paradoxum,IBT 22861,Penicillium_paradoxum_IBT_22861.proteins.fa,Penicillium_paradoxum_IBT_22861.scaffolds.fa,Penipara,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium parvum,4-14b,Penicillium_parvum_4-14b.proteins.fa,Penicillium_parvum_4-14b.scaffolds.fa,Peniparv,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium paxilli,ATCC 26601,Penicillium_paxilli_ATCC_26601.proteins.fa,Penicillium_paxilli_ATCC_26601.scaffolds.fa,Penipaxi,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium polonicum,CGMCC 3.15264,Penicillium_polonicum_CGMCC_3.15264.proteins.fa,Penicillium_polonicum_CGMCC_3.15264.scaffolds.fa,Penipolo,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium polonicum,CGMCC 3.15272,Penicillium_polonicum_CGMCC_3.15272.proteins.fa,Penicillium_polonicum_CGMCC_3.15272.scaffolds.fa,Penipol2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium polonicum,KACC_93368,Penicillium_polonicum_KACC_93368.proteins.fa,Penicillium_polonicum_KACC_93368.scaffolds.fa,Penipol3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium psychrofluorescens,KMR99,Penicillium_psychrofluorescens_KMR99.proteins.fa,Penicillium_psychrofluorescens_KMR99.scaffolds.fa,Penipsyc,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium psychrosexuale,IBT 29551,Penicillium_psychrosexuale_IBT_29551.proteins.fa,Penicillium_psychrosexuale_IBT_29551.scaffolds.fa,Penipsy2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium pulvis,IBT 33274,Penicillium_pulvis_IBT_33274.proteins.fa,Penicillium_pulvis_IBT_33274.scaffolds.fa,Penipulv,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium raperi,F027,Penicillium_raperi_F027.proteins.fa,Penicillium_raperi_F027.scaffolds.fa,Penirape,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium riverlandense,IBT 135883,Penicillium_riverlandense_IBT_135883.proteins.fa,Penicillium_riverlandense_IBT_135883.scaffolds.fa,Penirive,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium robsamsonii,IBT 29466,Penicillium_robsamsonii_IBT_29466.proteins.fa,Penicillium_robsamsonii_IBT_29466.scaffolds.fa,Penirobs,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium robsamsonii,VS III D KN3.2,Penicillium_robsamsonii_VS_III_D_KN3.2.proteins.fa,Penicillium_robsamsonii_VS_III_D_KN3.2.scaffolds.fa,Penirob2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium rolfsii,F1880,Penicillium_rolfsii_F1880.proteins.fa,Penicillium_rolfsii_F1880.scaffolds.fa,Penirolf,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,AOP18_B2_surf_bin_13,Penicillium_roqueforti_AOP18_B2_surf_bin_13.proteins.fa,Penicillium_roqueforti_AOP18_B2_surf_bin_13.scaffolds.fa,Peniroqu,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,AOP25_B1_coeur_bin_20,Penicillium_roqueforti_AOP25_B1_coeur_bin_20.proteins.fa,Penicillium_roqueforti_AOP25_B1_coeur_bin_20.scaffolds.fa,Peniroq2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,AOP25_B2_surf_bin_16,Penicillium_roqueforti_AOP25_B2_surf_bin_16.proteins.fa,Penicillium_roqueforti_AOP25_B2_surf_bin_16.scaffolds.fa,Peniroq3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,AOP37_A2_surf_bin_4,Penicillium_roqueforti_AOP37_A2_surf_bin_4.proteins.fa,Penicillium_roqueforti_AOP37_A2_surf_bin_4.scaffolds.fa,Peniroq4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,AOP43_C2_coeur_bin_16,Penicillium_roqueforti_AOP43_C2_coeur_bin_16.proteins.fa,Penicillium_roqueforti_AOP43_C2_coeur_bin_16.scaffolds.fa,Peniroq5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,AOP4_A1_surf_bin_10,Penicillium_roqueforti_AOP4_A1_surf_bin_10.proteins.fa,Penicillium_roqueforti_AOP4_A1_surf_bin_10.scaffolds.fa,Peniroq6,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,AOP4_B2_surf_bin_7,Penicillium_roqueforti_AOP4_B2_surf_bin_7.proteins.fa,Penicillium_roqueforti_AOP4_B2_surf_bin_7.scaffolds.fa,Peniroq7,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147308,Penicillium_roqueforti_CBS_147308.proteins.fa,Penicillium_roqueforti_CBS_147308.scaffolds.fa,Peniroq8,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147309,Penicillium_roqueforti_CBS_147309.proteins.fa,Penicillium_roqueforti_CBS_147309.scaffolds.fa,Peniroq9,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147310,Penicillium_roqueforti_CBS_147310.proteins.fa,Penicillium_roqueforti_CBS_147310.scaffolds.fa,Peniro10,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147311,Penicillium_roqueforti_CBS_147311.proteins.fa,Penicillium_roqueforti_CBS_147311.scaffolds.fa,Peniro11,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147317,Penicillium_roqueforti_CBS_147317.proteins.fa,Penicillium_roqueforti_CBS_147317.scaffolds.fa,Peniro12,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147318,Penicillium_roqueforti_CBS_147318.proteins.fa,Penicillium_roqueforti_CBS_147318.scaffolds.fa,Peniro13,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147325,Penicillium_roqueforti_CBS_147325.proteins.fa,Penicillium_roqueforti_CBS_147325.scaffolds.fa,Peniro14,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147326,Penicillium_roqueforti_CBS_147326.proteins.fa,Penicillium_roqueforti_CBS_147326.scaffolds.fa,Peniro15,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147330,Penicillium_roqueforti_CBS_147330.proteins.fa,Penicillium_roqueforti_CBS_147330.scaffolds.fa,Peniro16,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147331,Penicillium_roqueforti_CBS_147331.proteins.fa,Penicillium_roqueforti_CBS_147331.scaffolds.fa,Peniro17,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147332,Penicillium_roqueforti_CBS_147332.proteins.fa,Penicillium_roqueforti_CBS_147332.scaffolds.fa,Peniro18,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147333,Penicillium_roqueforti_CBS_147333.proteins.fa,Penicillium_roqueforti_CBS_147333.scaffolds.fa,Peniro19,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147337,Penicillium_roqueforti_CBS_147337.proteins.fa,Penicillium_roqueforti_CBS_147337.scaffolds.fa,Peniro20,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147338,Penicillium_roqueforti_CBS_147338.proteins.fa,Penicillium_roqueforti_CBS_147338.scaffolds.fa,Peniro21,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147339,Penicillium_roqueforti_CBS_147339.proteins.fa,Penicillium_roqueforti_CBS_147339.scaffolds.fa,Peniro22,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147354,Penicillium_roqueforti_CBS_147354.proteins.fa,Penicillium_roqueforti_CBS_147354.scaffolds.fa,Peniro23,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147355,Penicillium_roqueforti_CBS_147355.proteins.fa,Penicillium_roqueforti_CBS_147355.scaffolds.fa,Peniro24,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CBS 147372,Penicillium_roqueforti_CBS_147372.proteins.fa,Penicillium_roqueforti_CBS_147372.scaffolds.fa,Peniro25,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,CECT 2905,Penicillium_roqueforti_CECT_2905.proteins.fa,Penicillium_roqueforti_CECT_2905.scaffolds.fa,Peniro26,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 002-I6,Penicillium_roqueforti_DTO_002-I6.proteins.fa,Penicillium_roqueforti_DTO_002-I6.scaffolds.fa,Peniro27,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 003-C3,Penicillium_roqueforti_DTO_003-C3.proteins.fa,Penicillium_roqueforti_DTO_003-C3.scaffolds.fa,Peniro28,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 006-G1,Penicillium_roqueforti_DTO_006-G1.proteins.fa,Penicillium_roqueforti_DTO_006-G1.scaffolds.fa,Peniro29,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 006-G7,Penicillium_roqueforti_DTO_006-G7.proteins.fa,Penicillium_roqueforti_DTO_006-G7.scaffolds.fa,Peniro30,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 012-A1,Penicillium_roqueforti_DTO_012-A1.proteins.fa,Penicillium_roqueforti_DTO_012-A1.scaffolds.fa,Peniro31,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 012-A7,Penicillium_roqueforti_DTO_012-A7.proteins.fa,Penicillium_roqueforti_DTO_012-A7.scaffolds.fa,Peniro32,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 012-A8,Penicillium_roqueforti_DTO_012-A8.proteins.fa,Penicillium_roqueforti_DTO_012-A8.scaffolds.fa,Peniro33,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 012-A9,Penicillium_roqueforti_DTO_012-A9.proteins.fa,Penicillium_roqueforti_DTO_012-A9.scaffolds.fa,Peniro34,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 013-E5,Penicillium_roqueforti_DTO_013-E5.proteins.fa,Penicillium_roqueforti_DTO_013-E5.scaffolds.fa,Peniro35,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 013-F2,Penicillium_roqueforti_DTO_013-F2.proteins.fa,Penicillium_roqueforti_DTO_013-F2.scaffolds.fa,Peniro36,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 027-I6,Penicillium_roqueforti_DTO_027-I6.proteins.fa,Penicillium_roqueforti_DTO_027-I6.scaffolds.fa,Peniro37,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 032-C6,Penicillium_roqueforti_DTO_032-C6.proteins.fa,Penicillium_roqueforti_DTO_032-C6.scaffolds.fa,Peniro38,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 039-G3,Penicillium_roqueforti_DTO_039-G3.proteins.fa,Penicillium_roqueforti_DTO_039-G3.scaffolds.fa,Peniro39,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,DTO 046-C5,Penicillium_roqueforti_DTO_046-C5.proteins.fa,Penicillium_roqueforti_DTO_046-C5.scaffolds.fa,Peniro40,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,FM164,Penicillium_roqueforti_FM164.proteins.fa,Penicillium_roqueforti_FM164.scaffolds.fa,Peniro41,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,JCM 22842,Penicillium_roqueforti_JCM_22842.proteins.fa,Penicillium_roqueforti_JCM_22842.scaffolds.fa,Peniro42,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,LCP 96.3914a,Penicillium_roqueforti_LCP_96.3914a.proteins.fa,Penicillium_roqueforti_LCP_96.3914a.scaffolds.fa,Peniro43,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,LCP06133,Penicillium_roqueforti_LCP06133.proteins.fa,Penicillium_roqueforti_LCP06133.scaffolds.fa,Peniro44,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,LCP96 04111,Penicillium_roqueforti_LCP96_04111.proteins.fa,Penicillium_roqueforti_LCP96_04111.scaffolds.fa,Peniro45,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,MJ0506,Penicillium_roqueforti_MJ0506.proteins.fa,Penicillium_roqueforti_MJ0506.scaffolds.fa,Peniro46,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,MJ1410,Penicillium_roqueforti_MJ1410.proteins.fa,Penicillium_roqueforti_MJ1410.scaffolds.fa,Peniro47,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,MJ1609,Penicillium_roqueforti_MJ1609.proteins.fa,Penicillium_roqueforti_MJ1609.scaffolds.fa,Peniro48,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,MJ1703,Penicillium_roqueforti_MJ1703.proteins.fa,Penicillium_roqueforti_MJ1703.scaffolds.fa,Peniro49,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium roqueforti,UASWS P1,Penicillium_roqueforti_UASWS_P1.proteins.fa,Penicillium_roqueforti_UASWS_P1.scaffolds.fa,Peniro50,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium rubens,F8_6S_6F,Penicillium_rubens_F8_6S_6F.proteins.fa,Penicillium_rubens_F8_6S_6F.scaffolds.fa,Penirube,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium rubens,IBT 27055,Penicillium_rubens_IBT_27055.proteins.fa,Penicillium_rubens_IBT_27055.scaffolds.fa,Penirub2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium rubens,MS0123,Penicillium_rubens_MS0123.proteins.fa,Penicillium_rubens_MS0123.scaffolds.fa,Penirub3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium salamii,,Penicillium_salamii.proteins.fa,Penicillium_salamii.scaffolds.fa,Penisala,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium salamii,AOP25_A1_surf_bin_2,Penicillium_salamii_AOP25_A1_surf_bin_2.proteins.fa,Penicillium_salamii_AOP25_A1_surf_bin_2.scaffolds.fa,Penisal2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium samsonianum,IBT 33392,Penicillium_samsonianum_IBT_33392.proteins.fa,Penicillium_samsonianum_IBT_33392.scaffolds.fa,Penisams,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium sclerotigenum,,Penicillium_sclerotigenum.proteins.fa,Penicillium_sclerotigenum.scaffolds.fa,Peniscle,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium sclerotiorum,,Penicillium_sclerotiorum.proteins.fa,Penicillium_sclerotiorum.scaffolds.fa,Peniscl2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium sclerotiorum,113,Penicillium_sclerotiorum_113.proteins.fa,Penicillium_sclerotiorum_113.scaffolds.fa,Peniscl3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium sclerotiorum,NRRL 2074,Penicillium_sclerotiorum_NRRL_2074.proteins.fa,Penicillium_sclerotiorum_NRRL_2074.scaffolds.fa,Peniscl4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium silybi,G85,Penicillium_silybi_G85.proteins.fa,Penicillium_silybi_G85.scaffolds.fa,Penisily,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium simplicissimum,A4,Penicillium_simplicissimum_A4.proteins.fa,Penicillium_simplicissimum_A4.scaffolds.fa,Penisimp,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium simplicissimum,NRRL 1075,Penicillium_simplicissimum_NRRL_1075.proteins.fa,Penicillium_simplicissimum_NRRL_1075.scaffolds.fa,Penisim2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium simplicissimum,NRRL 2016,Penicillium_simplicissimum_NRRL_2016.proteins.fa,Penicillium_simplicissimum_NRRL_2016.scaffolds.fa,Penisim3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
Penicillium soppii,IBT 18220,Penicillium_soppii_IBT_18220.proteins.fa,Penicillium_soppii_IBT_18220.scaffolds.fa,Penisopp,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
